 ,Area,Mean,Min,Max,X,Y
1,0,67,67,67,228.000,202.000
2,0,121,121,121,269.167,231.500
3,0,121,121,121,307.833,272.833
4,0,75,75,75,343.833,324.833
5,0,68,68,68,359.833,387.500
6,0,118,118,118,362.500,462.167
7,0,103,103,103,341.167,520.833
8,0,77,77,77,309.167,562.167
9,0,108,108,108,282.500,591.500
