specimen,condition,load,muscle,position,plane,val_x,val_y,difference
S1_r,split25_lower,20N,ss4,abd0,SP,-8.741739101892298,-9.714973102787877,0.9732340008955784
S1_r,split25_lower,20N,ss4,abd0,TP,4.578281785523991,3.263232013972753,1.3150497715512381
S2_r,split25_upper,20N,ss4,abd0,SP,-9.14476005394149,-12.913351800118347,3.768591746176858
S2_r,split25_upper,20N,ss4,abd0,TP,9.845069528978204,10.952345760380963,-1.1072762314027589
S2_r,split25_lower,0N,ss4,abd90,SP,-1.8223664965512092,-1.2889926738660316,-0.5333738226851776
S2_r,split25_lower,0N,ss4,abd90,TP,21.87776870102203,20.705517389189623,1.172251311832408
S3_r,split25_upper,0N,ss4,abd90,SP,1.157215127518112,2.018932534129019,-0.8617174066109072
S3_r,split25_upper,0N,ss4,abd90,TP,29.162990705108268,29.461013312932803,-0.29802260782453516
S3_r,split25_lower,0N,ss1,ABER,SP,23.86522066517502,22.71834638379884,1.1468742813761814
S3_r,split25_lower,0N,ss1,ABER,TP,16.12405736721198,15.646837208890199,0.47722015832177966
S4_l,split25_upper,0N,ss1,ABER,SP,18.28589568297392,14.208288983475954,4.077606699497965
S4_l,split25_upper,0N,ss1,ABER,TP,2.444207264900647,-3.475037104957514,5.919244369858161
S4_l,split25_lower,0N,ss2,APP,SP,17.264622131471295,18.040520963888103,-0.7758988324168072
S4_l,split25_lower,0N,ss2,APP,TP,26.6717096358046,25.847149287755634,0.8245603480489656
S5_l,split25_upper,0N,ss2,APP,SP,11.301053727917454,8.204977133881517,3.096076594035937
S5_l,split25_upper,0N,ss2,APP,TP,26.590948961523367,27.632052305075526,-1.0411033435521588
S5_l,split25_lower,20N,ss1,abd0,SP,5.984937910339497,6.891735199992085,-0.9067972896525882
S5_l,split25_lower,20N,ss1,abd0,TP,25.084963580458737,23.377550792590714,1.707412787868023
S6_r,split25_lower,20N,ss3,abd0,SP,-11.645654316653395,-10.032086361225668,-1.6135679554277278
S6_r,split25_lower,20N,ss3,abd0,TP,13.716655679767513,12.06867916308829,1.647976516679222
S7_r,split25_upper,20N,ss3,abd0,SP,0.5647526764169875,2.0494405437462824,-1.484687867329295
S7_r,split25_upper,20N,ss3,abd0,TP,25.25095866858345,25.724124329127797,-0.47316566054434617
S7_r,split25_lower,20N,ss3,abd90,SP,-9.019247577549326,-8.763978209970658,-0.25526936757866814
S7_r,split25_lower,20N,ss3,abd90,TP,16.865359441206287,18.046761778490353,-1.1814023372840659
S9_l,split25_upper,0N,ss1,APP,SP,19.35998059695592,13.51222801099841,5.847752585957512
S9_l,split25_upper,0N,ss1,APP,TP,24.105789041385847,23.534253249824204,0.5715357915616437
S9_l,split25_lower,40N,ss1,abd0,SP,24.349178874974506,24.263629724400655,0.0855491505738506
S9_l,split25_lower,40N,ss1,abd0,TP,20.669214020565192,21.85028095311797,-1.1810669325527776
