,,,,,lineOfAction,lineOfAction
,,,,,mean,std
region,condition,position,load,plane,,
ss2,split25_lower,abd90,0N,SP,168.78374881671306,10.97666413076493
ss2,split25_lower,abd90,0N,TP,190.01088580897323,20.312943452216647
ss2,split25_lower,abd90,20N,SP,167.92401751585663,12.854601256172641
ss2,split25_lower,abd90,20N,TP,190.45221704942094,19.46393958801675
ss2,split25_lower,abd90,40N,SP,168.22841733423408,10.588063539424565
ss2,split25_lower,abd90,40N,TP,189.58487246918673,20.076979492850736
ss2,split25_upper,ABER,0N,SP,152.4626067465905,15.958039203653744
ss2,split25_upper,ABER,0N,TP,192.05469070156144,13.519301970245586
ss2,split25_upper,ABER,20N,SP,151.40283201622358,21.496383518076286
ss2,split25_upper,ABER,20N,TP,189.0756926828159,17.883291585002087
ss2,split25_upper,ABER,40N,SP,146.85743333687876,24.544285336167217
ss2,split25_upper,ABER,40N,TP,200.8092310145541,22.05070057201694
ss2,split25_upper,APP,0N,SP,158.80673826831105,15.274901466400586
ss2,split25_upper,APP,0N,TP,190.50428657328277,23.715730114020342
ss2,split25_upper,APP,20N,SP,159.37403890761158,18.5139248890947
ss2,split25_upper,APP,20N,TP,197.42156073505825,15.336656956152316
ss2,split25_upper,APP,40N,SP,159.26629315562633,19.788361508776195
ss2,split25_upper,APP,40N,TP,193.13409361662562,17.335845978410813
ss2,split25_upper,abd0,0N,SP,181.5899711937139,30.806191036994054
ss2,split25_upper,abd0,0N,TP,179.56828987176047,16.172041867127163
ss2,split25_upper,abd0,20N,SP,178.0743640016201,38.3591055394381
ss2,split25_upper,abd0,20N,TP,179.4750031255947,13.47623036363829
ss2,split25_upper,abd0,40N,SP,159.08911378848416,35.66604231882012
ss2,split25_upper,abd0,40N,TP,177.69820666609868,17.469634112975218
ss2,split25_upper,abd90,0N,SP,173.6166325031945,13.516710168431736
ss2,split25_upper,abd90,0N,TP,191.22392719889044,15.66729137416478
ss2,split25_upper,abd90,20N,SP,172.95501458211666,15.284439532409783
ss2,split25_upper,abd90,20N,TP,190.39617638113555,16.819558860623335
ss2,split25_upper,abd90,40N,SP,164.70336453496458,26.865049312124494
ss2,split25_upper,abd90,40N,TP,194.08136297749036,17.935949105975492
ss2,split50,ABER,0N,SP,158.9526234949671,12.06491887307288
ss2,split50,ABER,0N,TP,185.5056774888501,8.641402925647977
ss2,split50,ABER,20N,SP,157.7880601193063,13.668622644463829
ss2,split50,ABER,20N,TP,177.47219227915306,15.362475347752829
ss2,split50,ABER,40N,SP,158.69119473789328,12.718369858772352
ss2,split50,ABER,40N,TP,181.61795298419693,8.884027487323813
ss2,split50,APP,0N,SP,163.53136272055508,10.460230949022874
ss2,split50,APP,0N,TP,180.512301080511,9.50502637791554
ss2,split50,APP,20N,SP,165.5321531045384,10.149420304999733
ss2,split50,APP,20N,TP,175.71305142374132,15.24509894328291
ss2,split50,APP,40N,SP,162.95401970807993,11.91251024408111
ss2,split50,APP,40N,TP,174.8920010807205,17.250308773630053
ss2,split50,abd0,0N,SP,170.94564312366646,13.37588498855447
ss2,split50,abd0,0N,TP,180.30867192389016,15.908399021975876
ss2,split50,abd0,20N,SP,173.52840978954873,11.806379829286278
ss2,split50,abd0,20N,TP,180.95011637648355,14.947313352356753
ss2,split50,abd0,40N,SP,173.14775019993314,13.485806263632089
ss2,split50,abd0,40N,TP,179.70332503924118,19.747523258175168
ss2,split50,abd90,0N,SP,169.63626931189717,17.731788661599133
ss2,split50,abd90,0N,TP,187.26351856737705,16.80459366665185
ss2,split50,abd90,20N,SP,169.86920743022802,17.284185968622477
ss2,split50,abd90,20N,TP,186.75931220092548,17.08643457070346
ss2,split50,abd90,40N,SP,169.7849137021513,17.133267141473556
ss2,split50,abd90,40N,TP,185.57788467676062,18.960110668876986
ss3,split25_lower,ABER,0N,SP,144.8277573860488,7.106302138038209
ss3,split25_lower,ABER,0N,TP,176.66998447823067,14.868316132738626
ss3,split25_lower,ABER,20N,SP,142.4190288762183,6.6169232251286125
ss3,split25_lower,ABER,20N,TP,178.21618339985196,18.75624026584836
ss3,split25_lower,ABER,40N,SP,145.36847548462453,8.051857839727392
ss3,split25_lower,ABER,40N,TP,182.8476219577746,19.547224935644838
ss3,split25_lower,APP,0N,SP,143.66862943486512,11.988739839232645
ss3,split25_lower,APP,0N,TP,183.59617007862317,19.961540075973662
ss3,split25_lower,APP,20N,SP,145.8688413735022,11.837827493127573
ss3,split25_lower,APP,20N,TP,191.4181710731949,18.334827994165742
ss3,split25_lower,APP,40N,SP,145.2074872015819,11.822001930163774
ss3,split25_lower,APP,40N,TP,185.92673627053603,21.95314459102189
ss3,split25_lower,abd0,0N,SP,157.5159885302173,12.44041790284936
ss3,split25_lower,abd0,0N,TP,185.25103509110585,15.818635738427751
ss3,split25_lower,abd0,20N,SP,157.82979409222338,9.169724028626133
ss3,split25_lower,abd0,20N,TP,190.07524391616658,15.412003954793725
ss3,split25_lower,abd0,40N,SP,157.59540089481612,11.256569577880422
ss3,split25_lower,abd0,40N,TP,186.117711866597,18.156164083503462
ss3,split25_lower,abd90,0N,SP,166.7555222463684,34.545811166182204
ss3,split25_lower,abd90,0N,TP,185.53042223282847,19.458900452989113
ss3,split25_lower,abd90,20N,SP,156.80366406377814,12.638418389105274
ss3,split25_lower,abd90,20N,TP,187.93532781347167,17.8212152448005
ss3,split25_lower,abd90,40N,SP,154.78885029895775,12.408288413982785
ss3,split25_lower,abd90,40N,TP,186.72725587313823,19.076092399757297
