,,,,,stabilityRatio,stabilityRatio
,,,,,mean,std
region,condition,position,load,plane,,
ss2,split25_lower,abd0,0N,SP,-0.26502812146193067,0.27469280862431567
ss2,split25_lower,abd0,0N,TP,-0.1710428202211965,0.3573218868208402
ss2,split25_lower,abd0,20N,SP,-0.24502396211987476,0.21560843216569062
ss2,split25_lower,abd0,20N,TP,-0.20334557474330855,0.3259806009477079
ss2,split25_lower,abd0,40N,SP,-0.24258217998536344,0.21953060754890852
ss2,split25_lower,abd0,40N,TP,-0.1434538694937818,0.37161343418952614
ss2,split25_lower,abd90,0N,SP,-0.20413754284592678,0.20070182409147838
ss2,split25_lower,abd90,0N,TP,-0.19932918356175655,0.398886466968258
ss2,split25_lower,abd90,20N,SP,-0.2254490881169554,0.24849094523649068
ss2,split25_lower,abd90,20N,TP,-0.20646324093398066,0.38234419171744666
ss2,split25_lower,abd90,40N,SP,-0.21411220339062753,0.19455643133977332
ss2,split25_lower,abd90,40N,TP,-0.18563244953391483,0.39328403356084013
ss2,split25_upper,ABER,0N,SP,-0.5930438610815781,0.47604569205930497
ss2,split25_upper,ABER,0N,TP,-0.22899448163816905,0.27170386590775886
ss2,split25_upper,ABER,20N,SP,-0.6948961985384641,0.6913311897539303
ss2,split25_upper,ABER,20N,TP,-0.17349822270678641,0.3371070203432189
ss2,split25_upper,ABER,40N,SP,-0.8416492797818491,0.7712144135006535
ss2,split25_upper,ABER,40N,TP,-0.43496248278591704,0.4697323951335081
ss2,split25_upper,APP,0N,SP,-0.4163263057233149,0.32054162608945563
ss2,split25_upper,APP,0N,TP,-0.1990674231923975,0.4518861765823831
ss2,split25_upper,APP,20N,SP,-0.42019278990599374,0.40507455761971894
ss2,split25_upper,APP,20N,TP,-0.33946976936199025,0.32126918242637875
ss2,split25_upper,APP,40N,SP,-0.42753766274727323,0.4338167907318015
ss2,split25_upper,APP,40N,TP,-0.2534209689703112,0.3386221092651814
ss2,split25_upper,abd0,0N,SP,0.23855617030278792,1.147217300832355
ss2,split25_upper,abd0,0N,TP,-0.0695808547756712,0.2822258283609904
ss2,split25_upper,abd0,20N,SP,0.4663577165833536,2.19725739855598
ss2,split25_upper,abd0,20N,TP,-0.061843885679577035,0.2312007318845243
ss2,split25_upper,abd0,40N,SP,-8.644624813911253,23.69349810374651
ss2,split25_upper,abd0,40N,TP,-0.04126619518726192,0.3185714468236318
ss2,split25_upper,abd90,0N,SP,-0.1180163307197756,0.2487452510278975
ss2,split25_upper,abd90,0N,TP,-0.20976250582143102,0.28971429404987004
ss2,split25_upper,abd90,20N,SP,-0.13237231500784255,0.28319892992301227
ss2,split25_upper,abd90,20N,TP,-0.1937002024914125,0.31478293516190275
ss2,split25_upper,abd90,40N,SP,-0.39270915891802693,0.7122628227594042
ss2,split25_upper,abd90,40N,TP,-0.2790392378489278,0.37476545770166597
ss2,split50,ABER,0N,SP,-0.40412831219348655,0.25569344041330583
ss2,split50,ABER,0N,TP,-0.0980042426919477,0.15303768988855554
ss2,split50,ABER,20N,SP,-0.43616532612045855,0.30058223834346876
ss2,split50,ABER,20N,TP,0.05142150213021534,0.28728572681360215
ss2,split50,ABER,40N,SP,-0.4112067835718983,0.2675590060829362
ss2,split50,ABER,40N,TP,-0.02924021666088543,0.15765253844315105
ss2,split50,APP,0N,SP,-0.30704008672346284,0.21114041001129275
ss2,split50,APP,0N,TP,-0.008789889446767774,0.16882441349353694
ss2,split50,APP,20N,SP,-0.2682758974452244,0.20696055754235368
ss2,split50,APP,20N,TP,0.08713608547436798,0.29753792351632363
ss2,split50,APP,40N,SP,-0.3209262184029227,0.23876997636636493
ss2,split50,APP,40N,TP,0.10894592288427161,0.35034292151485413
ss2,split50,abd0,0N,SP,-0.16907998667938276,0.25042263171231316
ss2,split50,abd0,0N,TP,-0.003945378596198132,0.2890252169170356
ss2,split50,abd0,20N,SP,-0.12005491052414566,0.2200834150020975
ss2,split50,abd0,20N,TP,-0.01744121766902993,0.2675991128569877
ss2,split50,abd0,40N,SP,-0.1305277553684433,0.2579886464307099
ss2,split50,abd0,40N,TP,0.011445780259013376,0.37510074200538296
ss2,split50,abd90,0N,SP,-0.1992334502629171,0.3346262932824977
ss2,split50,abd90,0N,TP,-0.14500746507300122,0.331779404221474
ss2,split50,abd90,20N,SP,-0.1950778445872795,0.3264523231472064
