 ,Area,Mean,Min,Max,X,Y
1,0,251,251,251,228.000,624.000
2,0,240,240,240,307.500,627.500
3,0,218,218,218,379.500,597.500
4,0,121,121,121,421.500,561.500
5,0,53,53,53,443.500,509.500
6,0,44,44,44,459.500,445.500
7,0,15,15,15,451.500,383.500
8,0,11,11,11,423.500,309.500
9,0,14,14,14,387.500,269.500
