specimen,condition,load,muscle,position,plane,val_x,val_y,difference
S1_r,split50,20N,ss4,APP,SP,3.8809351296793744,3.4950500337886963,0.3858850958906781
S1_r,split50,20N,ss4,APP,TP,31.046996057986984,29.940193981225583,1.1068020767614009
S3_r,split50,20N,ss4,abd0,SP,-11.254560568033384,-12.872464987709519,1.617904419676135
S3_r,split50,20N,ss4,abd0,TP,29.190930537074426,27.80935993662603,1.381570600448395
S4_l,split50,0N,ss4,abd90,SP,3.921303897761955,4.594958199543994,-0.6736543017820389
S4_l,split50,0N,ss4,abd90,TP,28.78814106099818,26.79121392346241,1.9969271375357671
S5_l,split50,0N,ss1,ABER,SP,28.243265153479705,24.963397119858794,3.279868033620911
S5_l,split50,0N,ss1,ABER,TP,17.7323833078483,17.369413038368567,0.36297026947973166
S7_r,split50,20N,ss1,abd0,SP,-1.2801884183773156,-2.526048125345675,1.2458597069683595
S7_r,split50,20N,ss1,abd0,TP,21.65993612488345,52.46013618858295,-30.8002000636995
S9_l,split50,20N,ss3,abd90,SP,-18.73757295968312,-14.432135385440857,-4.305437574242264
S9_l,split50,20N,ss3,abd90,TP,21.987615102635168,17.774398547332172,4.213216555302996
