specimen,condition,load,muscle,position,plane,val_x,val_y,difference
S1_r,split50,20N,ss4,APP,SP,-1.499384718846383,-1.8597657017798357,0.3603809829334528
S1_r,split50,20N,ss4,APP,TP,-0.2654722883615494,-0.4402852005840318,0.1748129122224824
S3_r,split50,20N,ss4,abd0,SP,-0.6735119097888163,-0.6597118121713764,-0.013800097617439833
S3_r,split50,20N,ss4,abd0,TP,-0.1814642255513128,-0.17846888119383347,-0.002995344357479335
S4_l,split50,0N,ss4,abd90,SP,-0.7443132907090099,-0.8464604256996842,0.1021471349906743
S4_l,split50,0N,ss4,abd90,TP,-0.3092450083571298,-0.4238404107180536,0.1145954023609238
S5_l,split50,0N,ss1,ABER,SP,-0.1643295429657321,-0.26432095292168867,0.09999140995595657
S5_l,split50,0N,ss1,ABER,TP,-0.0642935183279237,-0.05857865948363478,-0.005714858844288913
S7_r,split50,20N,ss1,abd0,SP,0.2848394139336775,0.3271248210274118,-0.042285407093734295
S7_r,split50,20N,ss1,abd0,TP,0.0728819315199839,0.0981730681213853,-0.025291136601401407
S9_l,split50,20N,ss3,abd90,SP,0.0083661670534051,-0.1652186294015764,0.17358479645498148
S9_l,split50,20N,ss3,abd90,TP,0.2804625181726611,0.32345054892301517,-0.04298803075035407
