 ,Area,Mean,Min,Max,X,Y
1,0,92,92,92,516.000,957.000
2,0,90,90,90,488.833,904.833
3,0,157,157,157,495.500,858.167
4,0,91,91,91,508.833,826.167
5,0,74,74,74,540.833,790.167
6,0,210,210,210,594.167,776.833
